,gdp_growth,inflation,unemployment,interest_rate,consumer_confidence,manufacturing_pmi,retail_sales_growth,rating
US,2.16138195623856,2.94952520485207,4.198,3.25,98.5,52.8,4.2,AAA
DE,0.239578342117881,2.8,5.7,4.0,95.2,48.5,2.1,AAA
JP,1.19311288444599,2.5,2.451,0.1,88.7,51.2,3.5,A+
PL,3.5727250346774,3.81419531520146,5.2,5.75,92.3,49.8,5.8,A-
UK,1.38844207858726,3.88306881626,4.3,5.25,89.6,50.5,3.2,AA
FR,1.5,3.0,7.542,4.0,93.1,47.8,2.5,AA
NL,1.78463214703797,3.2595766451366,3.874,4.0,96.4,52.1,4.5,AAA
TW,3.8,2.2,3.7,1.875,91.8,53.2,6.2,AA
CH,1.30007790958307,0.154376978290185,4.873,1.75,94.2,51.8,2.8,AAA
EU,2.0,2.5,5.0,3.0,95.0,50.0,3.0,A
